EnergyStock [rank=180, symbol=TEN, quantRating=2.64, marketCapInBillions=0.67272776, divYield=0.039473683]
EnergyStock [rank=181, symbol=GEL, quantRating=2.64, marketCapInBillions=1.5883622, divYield=0.0462606]
EnergyStock [rank=182, symbol=RES, quantRating=2.63, marketCapInBillions=1.2644336, divYield=0.02680067]
EnergyStock [rank=183, symbol=LPG, quantRating=2.63, marketCapInBillions=1.3224814, divYield=0.0]
EnergyStock [rank=184, symbol=TRMD, quantRating=2.61, marketCapInBillions=2.5925474, divYield=0.22425798]
EnergyStock [rank=185, symbol=CLB, quantRating=2.26, marketCapInBillions=0.9122409, divYield=0.0020586723]
EnergyStock [rank=186, symbol=SDRL, quantRating=2.25, marketCapInBillions=2.5520217, divYield=0.0]
EnergyStock [rank=187, symbol=UROY, quantRating=2.25, marketCapInBillions=0.35354865, divYield=0.0]
EnergyStock [rank=188, symbol=KGEI, quantRating=2.24, marketCapInBillions=0.123947494, divYield=0.0]
EnergyStock [rank=189, symbol=MUR, quantRating=2.23, marketCapInBillions=4.780745, divYield=0.035845026]
EnergyStock [rank=190, symbol=OBE, quantRating=2.22, marketCapInBillions=0.44296375, divYield=0.0]
EnergyStock [rank=191, symbol=VRN, quantRating=2.22, marketCapInBillions=3.8584774, divYield=0.052396163]
EnergyStock [rank=192, symbol=NBR, quantRating=2.22, marketCapInBillions=0.7220662, divYield=0.0]
EnergyStock [rank=193, symbol=CHX, quantRating=2.21, marketCapInBillions=5.5861635, divYield=0.012619373]
EnergyStock [rank=194, symbol=NR, quantRating=2.21, marketCapInBillions=0.5862362, divYield=0.0]
EnergyStock [rank=195, symbol=PBF, quantRating=2.2, marketCapInBillions=3.7976356, divYield=0.0310752]
EnergyStock [rank=196, symbol=OPAL, quantRating=2.18, marketCapInBillions=0.6705487, divYield=0.0]
EnergyStock [rank=197, symbol=AMPY, quantRating=2.18, marketCapInBillions=0.26826254, divYield=0.0]
EnergyStock [rank=198, symbol=ALVOF, quantRating=2.17, marketCapInBillions=0.13225172, divYield=0.11357341]
EnergyStock [rank=199, symbol=AAVVF, quantRating=2.13, marketCapInBillions=1.0957813, divYield=0.0]
EnergyStock [rank=200, symbol=CIVI, quantRating=2.11, marketCapInBillions=4.9873104, divYield=0.03943995]
EnergyStock [rank=201, symbol=CHRD, quantRating=2.1, marketCapInBillions=7.9731836, divYield=0.061777264]
EnergyStock [rank=202, symbol=PTEN, quantRating=2.09, marketCapInBillions=3.211217, divYield=0.039167687]
EnergyStock [rank=203, symbol=RIG, quantRating=2.03, marketCapInBillions=3.6244466, divYield=0.0]
EnergyStock [rank=204, symbol=VTLE, quantRating=2.02, marketCapInBillions=1.0067708, divYield=0.0]
EnergyStock [rank=205, symbol=UGP, quantRating=2.02, marketCapInBillions=3.8423207, divYield=0.03541582]
EnergyStock [rank=206, symbol=NOA, quantRating=1.97, marketCapInBillions=0.46800682, divYield=0.016946038]
EnergyStock [rank=207, symbol=KOS, quantRating=1.92, marketCapInBillions=1.9674754, divYield=0.0]
EnergyStock [rank=208, symbol=EPM, quantRating=1.91, marketCapInBillions=0.17346439, divYield=0.09125475]
EnergyStock [rank=209, symbol=WFRD, quantRating=1.87, marketCapInBillions=5.837588, divYield=0.0031113878]
EnergyStock [rank=210, symbol=PARR, quantRating=1.81, marketCapInBillions=0.94804853, divYield=0.0]
EnergyStock [rank=211, symbol=BRY, quantRating=1.78, marketCapInBillions=0.39777458, divYield=0.10251451]
EnergyStock [rank=212, symbol=ACDC, quantRating=1.74, marketCapInBillions=0.94646645, divYield=0.0]
EnergyStock [rank=213, symbol=DK, quantRating=1.72, marketCapInBillions=1.097802, divYield=0.05820106]
EnergyStock [rank=214, symbol=BORR, quantRating=1.6, marketCapInBillions=1.2001939, divYield=0.063978724]
EnergyStock [rank=215, symbol=XPRO, quantRating=1.57, marketCapInBillions=1.5709093, divYield=0.0]
EnergyStock [rank=216, symbol=AREC, quantRating=1.55, marketCapInBillions=0.078196615, divYield=0.0]
EnergyStock [rank=217, symbol=TDW, quantRating=1.53, marketCapInBillions=3.2030313, divYield=0.0]
EnergyStock [rank=218, symbol=OIS, quantRating=1.48, marketCapInBillions=0.2749262, divYield=0.0]
EnergyStock [rank=219, symbol=CSAN, quantRating=1.48, marketCapInBillions=3.8156908, divYield=0.039490756]
EnergyStock [rank=220, symbol=DTI, quantRating=1.47, marketCapInBillions=0.1145255, divYield=0.0]
EnergyStock [rank=221, symbol=TTI, quantRating=1.45, marketCapInBillions=0.4022333, divYield=0.0]
EnergyStock [rank=222, symbol=AMTX, quantRating=1.43, marketCapInBillions=0.14064601, divYield=0.0]
EnergyStock [rank=223, symbol=BOOM, quantRating=1.37, marketCapInBillions=0.2076017, divYield=0.0]
EnergyStock [rank=224, symbol=WTI, quantRating=1.37, marketCapInBillions=0.31679183, divYield=0.018604651]
EnergyStock [rank=225, symbol=SMHI, quantRating=1.36, marketCapInBillions=0.24126388, divYield=0.0]
EnergyStock [rank=226, symbol=MIND, quantRating=1.34, marketCapInBillions=0.028291443, divYield=0.0]
EnergyStock [rank=227, symbol=GPRE, quantRating=1.28, marketCapInBillions=0.74288696, divYield=0.0]
EnergyStock [rank=228, symbol=KLXE, quantRating=1.28, marketCapInBillions=0.07605858, divYield=0.0]
EnergyStock [rank=229, symbol=NTOIY, quantRating=1.26, marketCapInBillions=12.264585, divYield=0.08252096]
EnergyStock [rank=230, symbol=VTNRQ, quantRating=1.19, marketCapInBillions=0.004582202, divYield=0.0]
EnergyStock [rank=231, symbol=TRLEF, quantRating=1.14, marketCapInBillions=0.01028183, divYield=0.0]
EnergyStock [rank=232, symbol=NFE, quantRating=1.07, marketCapInBillions=2.1722426, divYield=0.0]
